#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,i3-gaps,is the main graphical user interface and window manager.
A,doas,is the faster sudo replacement.
,xorg-server,is the graphical server.
,xorg-xwininfo,allows querying information about windows.
,xorg-xinit,starts the graphical server.
,ttf-inconsolata,is the monospace font of YARBS.
,ttf-linux-libertine,provides the sans and serif fonts for YARBS.
,vifm,is an extensive terminal file manager that everyone likes.
,ed,is the standard editor!
,tree,lists directory contents like trees. Used by vifm.
,arandr,is a UI for screen adjustment.
,kitty,is a terminal emulator used in YARBS.
,bc,is used for a dropdown calculator.
,calcurse,is a lightweight terminal-based calendar.
,xcompmgr,is for transparency and removing screen-tearing.
,xorg-xprop,is a tool for detecting window properties.
,dosfstools,allows your computer to access dos-like filesystems.
,libnotify,allows desktop notifications.
,dunst,is a suckless notification system.
,exfat-utils,allows management of FAT drives.
,sxiv,is a minimalist image viewer.
,ffmpeg,can record and splice video and audio on the command line.
,gnome-keyring,serves as the system keyring.
A,gtk-theme-arc-gruvbox-git,gives the dark GTK theme used in YARBS.
,neovim,an tidier vim with some useful features
,i3blocks,is the status bar.
,mpd,is a lightweight music daemon.
,mpc,is a terminal interface for mpd.
,mpv,is the patrician's choice video/gif player.
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor.
,networkmanager,does exactly what it sounds like.
,newsboat,is a terminal RSS client.
A,ios-emoji,is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere.
A,ttf-symbola,provides unicode and emoji symbols.
,ntfs-3g,allows accessing NTFS partitions.
,pulseaudio,is the audio system (>inb4 bloat).
,pulseaudio-alsa,is an audio interface with ALSA.
,pulsemixer,is an intuitive ncurses audio controller.
,playerctl,is for music control all over the system.
,imagemagick,is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in YARBS.
A,sc-im,is an Excel-like terminal spreadsheet manager.
A,gotop,provides system usage information and displays processes.
,maim,can take quick screenshots at your request.
,socat,is a socket utility.
,tmux,is a terminal multiplexer and the dropdown window in YARBS.
A,unclutter-xfixes-git,hides an inactive mouse.
,unrar,extracts rar's.
,unzip,unzips zips.
A,urlscan,parses URLs in the terminal allowing keyboard-based selection.
,w3m,is a terminal browser which can also view images.
,xcape,gives the special escape/super mappings of YARBS.
,xclip,allows for copying and pasting from the command line.
,xdotool,provides window action utilities on the command line.
,xorg-xdpyinfo,aids with resolution determination and screen recording.
,qrencode,is tool for generating QR code.
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.
,zathura,is a pdf viewer with vim-like bindings.
,zathura-djvu,gives zathura the ability to read .djvu files.
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
A,python-ueberzug,generates image previews in vifm and other terminal programs.
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.
,mediainfo,shows audio and video information and is used by vifm as well.
,atool,manages and gives information about archives.
,fzf,is a fuzzy finder tool.
,highlight,can highlight code output.
,xorg-xbacklight,enables changing screen brightness levels.
A,libxft-bgra-git,is for viewing emojis in tools, that don't support them by default.
A,task-spooler,queues commands or files for download.
A,simple-mtpfs,enables the mounting of cell phones.
G,https://github.com/lukesmithxyz/dmenu.git,runs commands and provides a UI for selection.
,docx2txt,enables .docx file previews in vifm.
,odt2txt,enables .odt file previews in vifm.
,xclip,does enable reading and copying to clipboard.
,xsel,does enable reading of selection.
,firefox,is browser for YARBS.
,python-pywal,does really cool things (sets wallpaper, and then colors all over my ricing).
,ncftp,uploads to FTP server.
,sxhkd,is for the keybindings.
,wget,does downloads from given link.
,feh,is thing for pywal.
,figlet,is for cool ascii arts on terminal.
A,betterlockscreen-git,is replacement of i3lock-color (it's better and faster).
